negate,no ah
inform,i am looking for a moderately priced restaurant in the west part o
reqalts,what about belgian food
inform,moderately priced restaurant in the east part of town
reqalts,is there any other restaurant that serves turkish food
inform,im looking for a restaurant in the south part of town it should serve kosher food
bye,unintelligible good bye
inform,im looking for a restaurant in the north part of town serving italian food
request,tell me the phone number
inform,im looking for a restaurant that serves indian food
inform,russian
inform,im looking for european food
inform,expensive restaurant that serves lebanese food
inform,find me an expensive persian restaurant
request,what is the address and phone number
inform,find spanish restaurant
inform,im looking for a restaurant in the west part of town that serves canapes food
reqalts,how about the moderate price range
null,static
inform,restaurant in the north
reqalts,how about a restaurant in the north part of town that sells french food
reqalts,noise is there anything else
inform,um doesnt matter if its in the center of the town
inform,can i find a moderately priced
inform,im looking for singaporean food
inform,center part of town
inform,it should serve moroccan food
inform,im looking for halal food
request,does it what kind of food does it serve
inform,crossover restaurant west part of town
inform,medterranean
inform,any range
request,could you give me the phone number and post code
inform,is there staurant that serves unusual food
request,adddress
inform,noise are there any venues that serve indian type food
request,and the type of food at gourmet burger kitchen
inform,um im trying to find a restaurant in the unintelligible of town
inform,i want to find a restaurant in the center and it should serve corsica food
negate,no vietnamese
request,and their post code
inform,i want a restaurant that serves cantonese food
inform,im searching for turkish food
inform,west part of town cheap
request,address noise
inform,arotrian
request,area
inform,restaurant in west part of town serving corsica food
deny,no not indian scandinavian food
inform,any time
request,good whats the address
reqalts,okay how about thai food
request,uh can i have the phone number please
inform,is there an asian oriental restaurant in the north part of town
inform,south part of town
inform,i want a modern european food
inform,im looking a restaurant in the east part of town
inform,i need a caribbean restaurant in the south part of town
inform,its expensive
inform,id like to find a moderately priced restaurant in the west part of town
reqalts,okay how about chinese food
inform,i want a cheap restaurant in the north part of town
inform,im looking a cheap restaurant
affirm,right that serves italian food
reqalts,any more
inform,i want to find a moderately priced restaurant in the east part of town
inform,um expensive restaurant
inform,french food
request,could i have the address and phone number
inform,italian food west part of town
request,may i have their address please
request,and what type of food does it serve
inform,id like to find a restaurant serving french food
request,could i have the phone number and type of food
inform,is there one that serves indian food
inform,uh that serves catalan food
confirm,do they have turkish food
reqalts,ah how bout a turkish type of food
inform,uh west
inform,swedish food
inform,south part
inform,portugeuse
inform,looking for an expensive restaurant in the east part of town
inform,i need a moderately priced restaurant serving world food
request,may i get the phone number and post code
inform,im looking for a restaurant that serves german food
inform,noise i dont care about the price range
negate,no lebanese food
inform,greek food in the north part of town
inform,im looking for a moderately priced restaurant in the south
null,would you like something
reqalts,how about a gastropub restaurant
confirm,is there a thai restaurant in the west part of town
request,addrss
inform,kitalian food
confirm,is there a chinese
inform,im looking for a restaurant in any area that serves kor
inform,tv_noise any
inform,im looking for a moderately priced restaurant that serves greek foo
inform,i want to find a restaurant in the center and it should serve lebanese food
inform,is there a chinese restaurant in the cheap price range
null,none
inform,im looking for a restaurant that serves austral austrian food
hello,hi i want to find a moderately priced restaurant in the north part of town
negate,no gastropub
reqalts,what about indian type of food
hello,noise hello
request,where is the address
inform,id like to find a restaurant in the west part of town that serves christmas food
confirm,does it serve indian food
reqmore,more
negate,wait no i wanted portuguese food
inform,find moderately priced restaurant in the west part of town
inform,i would like crossover food
inform,im looking for a moderately priced restaurant in the west part of town
affirm,yes moderate priced
reqalts,uh are there any restaurants serving chinese
request,and a phone number
inform,id like a restaurant in the south part of town
request,what area is it located
request,um could you give me the address
null,can i get a
