Column1;Column2;containsfood
null;was;FALSE
request;the phone number;FALSE
thankyou;thank you good bye;FALSE
inform;food;TRUE
inform;i want an expensive afghan restaurant;FALSE
inform;airatarin;FALSE
reqalts;how about asian oriental;FALSE
null;taiwanese;FALSE
inform;what about mediterranean food;TRUE
inform;thai food;TRUE
inform;spanish;FALSE
request;could i have the address please;FALSE
thankyou;thank you good bye;FALSE
request;what type of food is it;TRUE
null;noise;FALSE
request;can i have the phone number;FALSE
inform;north part of town;FALSE
request;the address;FALSE
inform;modern european food;TRUE
inform;im looking for a restaurant that has unintelligible;FALSE
inform;i need a moderately priced restaurant in the north part;FALSE
negate;no;FALSE
inform;i would like a restaurant in the west part of town that serves cuban food;TRUE
inform;gastropub;FALSE
affirm;yes;FALSE
inform;romanian food;TRUE
request;phone number;FALSE
inform;cheap restaurant;FALSE
bye;good bye;FALSE
inform;i dont care;FALSE
request;can i have the address phone number and;FALSE
null;um;FALSE
inform;im looking for a sea food restaurant;TRUE
affirm;yes;FALSE
reqalts;how about indian food;TRUE
deny;wrong;FALSE
reqalts;how about thai food;TRUE
thankyou;thank you goodbye;FALSE
inform;i dont care;FALSE
inform;center;FALSE
inform;i dont care;FALSE
inform;thai food;TRUE
inform;basque;FALSE
affirm;yes im looking for a restaurant in the north part of town;FALSE
inform;im looking for a restaurant in the east part of town serving chinese food;TRUE
affirm;yes;FALSE
inform;uh creative food;TRUE
hello;hi im looking for a restaurant in the west part of town;FALSE
thankyou;thank you;FALSE
inform;chinese food;TRUE
inform;south;FALSE
request;whats the address;FALSE
request;address;FALSE
request;whats the address;FALSE
inform;im looking for a moderately priced restaurant that serves japanese food;TRUE
null;number;FALSE
inform;north;FALSE
null;sil;FALSE
inform;vietnamese;FALSE
reqalts;how about vietnamese food;TRUE
inform;vietnamese food;TRUE
thankyou;thank you goodbye;FALSE
request;oh where is it;FALSE
thankyou;thank you good bye;FALSE
request;whats the address;FALSE
null;sil;FALSE
request;and the post code;FALSE
affirm;yes;FALSE
inform;place that serves portuguese food;TRUE
request;post code;FALSE
request;the address;FALSE
request;expensive price range;FALSE
null;sil;FALSE
inform;moderate;FALSE
inform;spanish;FALSE
affirm;right;FALSE
inform;i dont care;FALSE
thankyou;thank you good bye;FALSE
inform;anything;FALSE
affirm;yea;FALSE
reqalts;are there any restaurants serving turkish food;TRUE
inform;im looking for a moderately priced restaurant;FALSE
request;phone number;FALSE
request;what area of town are they located;FALSE
request;type of food;TRUE
request;phone number;FALSE
inform;seafood;TRUE
request;what type of food is it;TRUE
thankyou;thank you good bye;FALSE
null;noise;FALSE
request;and whats the telephone number;FALSE
inform;i want i want indian food;TRUE
inform;uh moderately price;FALSE
inform;thai food;TRUE
inform;greek;FALSE
inform;pan asian food;TRUE
inform;european food;TRUE
thankyou;thank you;FALSE
thankyou;thank you good bye;FALSE
thankyou;thank you good bye;FALSE
reqalts;is there anything else;FALSE
inform;moderate;FALSE
inform;cheap;FALSE
reqalts;is there anything else;FALSE
inform;brazilian food;TRUE
inform;im looking for a restaurant serving vietnamese food;TRUE
reqalts;how about indian food;TRUE
reqalts;anything else;FALSE
thankyou;thank you good bye;FALSE
request;whats the address;FALSE
request;phone number;FALSE
inform;any;FALSE
inform;i want a restaurant in the center of town;FALSE
inform;it doesnt matter;FALSE
inform;i want to find an expensive restaurant;FALSE
inform;indian food;TRUE
inform;i need a moderately priced restaurant;FALSE
request;post code;FALSE
inform;south;FALSE
inform;any area;FALSE
inform;greek restauran;FALSE
inform;doesnt matter;FALSE
hello;hi im looking for an expensive restaurant in the south part of town;FALSE
reqalts;is there anything else;FALSE
null;noise;FALSE
reqalts;what about gastropub;FALSE
null;type;FALSE
request;and the phone number;FALSE
inform;dont care;FALSE
inform;i dont care;FALSE
inform;doesnt matter;FALSE
request;whats its address;FALSE
inform;um i want to find a restaurant that serves fusion food;TRUE
thankyou;thank you goodbye;FALSE
reqalts;how about indian type of food;TRUE
inform;im looking for an expensive restaurant that serves european food;TRUE
thankyou;okay thank you good bye;FALSE
restart;start over;FALSE
thankyou;thank you good bye;FALSE
null;unintelligible;FALSE
thankyou;thank you good bye;FALSE
inform;moderately priced restaurant serving indian food;TRUE
inform;doesnt matter;FALSE
request;whats the address;FALSE
inform;swiss food;TRUE
request;phone;FALSE
thankyou;thank you good bye;FALSE
reqalts;how about indian food;TRUE
inform;south part of town;FALSE
inform;uh turkish;FALSE
inform;south;FALSE
inform;i want african food;TRUE
inform;i am looking for a moderately priced restaurant that serves russian food;TRUE
null;cough;FALSE
inform;east part of town;FALSE
inform;i want a moderately priced chinese restaurant;FALSE
request;what type of food;TRUE
request;where is it;FALSE
request;whats the phone number;FALSE
thankyou;thank you good bye;FALSE
reqalts;how about vietnamese type of food;TRUE
reqalts;anything else;FALSE
request;whats the address and price range;FALSE
reqalts;how about north american food;TRUE
reqalts;do you have another option anything else;FALSE
inform;im looking for a restaurant that serves;FALSE
inform;expensive;FALSE
request;and the phone number;FALSE
thankyou;thank you good bye;FALSE
request;address;FALSE
inform;any;FALSE
inform;danish;FALSE
inform;im looking for an expensive restaurant;FALSE
negate;no;FALSE
inform;any type of food;TRUE
inform;a moderate restaurant in the west part of town;FALSE
inform;dont care;FALSE
thankyou;thank you good bye;FALSE
inform;traditional food;TRUE
inform;dont care;FALSE
thankyou;thank you good bye;FALSE
inform;restaurant and it should serve steak house food;TRUE
inform;food type;TRUE
thankyou;thank you good bye;FALSE
null;sil;FALSE
inform;italian;FALSE
reqalts;what about chinese food;TRUE
inform;i dont care;FALSE
reqalts;i hate golden wok is there anything else;FALSE
request;what part of town;FALSE
inform;im looking for a moderately priced restaurant in the north;FALSE
affirm;yes;FALSE
request;whats the cost;FALSE
request;okay whats the phone number;FALSE
thankyou;thank you good bye;FALSE
inform;expensive european food;TRUE
request;whats the address;FALSE
inform;swedish food;TRUE
request;the address;FALSE
reqalts;is there anything else;FALSE
inform;noise are there any venues that serve indian type food;TRUE
reqalts;how about british food;TRUE
request;whats the phone number and address;FALSE
request;address;FALSE
affirm;yes;FALSE
inform;i dont care;FALSE
inform;expensive;FALSE
inform;it doesnt matter;FALSE
inform;i am looking for catalin food;TRUE
inform;asian oriental;FALSE
affirm;correct;FALSE
